Date,Amount,Description
2022-1-1,52030,'Duis cillum ut commodo duis do sint sint duis velit.'
2022-1-1,979.5,'Laboris labore aute eu sunt ullamco tempor.'
2022-1-1,39590,'Laboris cupidatat est Lorem est eiusmod et occaecat laborum culpa.'
2022-1-2,71900,'Non elit ea irure in culpa.'
2022-1-2,85050,'Non enim eiusmod ut culpa duis consequat dolor.'
2022-1-2,46970,'Anim mollit consequat adipisicing Lorem quis adipisicing.'
2022-1-2,96030,'Laboris qui irure consequat aliquip duis laboris nostrud officia voluptate cillum proident pariatur.'
2022-1-2,54970,'Ex deserunt reprehenderit ipsum labore anim.'
2022-1-2,83100,'Officia et magna officia sint culpa officia elit labore esse pariatur eu elit consectetur incididunt.'
2022-1-3,21220,'Do pariatur non.'
2022-1-4,69460,'Cillum pariatur anim cupidatat exercitation ex incididunt consequat pariatur sit.'
2022-1-4,9010,'Cupidatat incididunt et aliquip aliqua Lorem cupidatat eu eiusmod reprehenderit cupidatat commodo.'
2022-1-5,55110,'Et in ut nostrud enim veniam laborum occaecat irure deserunt.'
2022-1-5,83510,'Fugiat deserunt anim exercitation.'
2022-1-5,50310,'Occaecat ad ex.'
2022-1-5,70200,'Est voluptate dolor dolore.'
2022-1-5,20700,'Sint sunt reprehenderit qui aute incididunt ad consectetur ullamco.'
2022-1-8,5360,'Cupidatat amet ad ut sit consequat nostrud commodo proident.'
2022-1-8,44490,'Quis anim deserunt duis amet tempor fugiat pariatur.'
2022-1-8,41360,'Fugiat esse dolore velit nostrud ullamco culpa ex reprehenderit duis occaecat culpa nostrud ut cillum.'
2022-1-8,63820,'Sunt ullamco in qui nostrud anim commodo.'
2022-1-8,98200,'Minim qui aute culpa ea ad.'
2022-1-8,85650,'Fugiat irure est fugiat sint.'
2022-1-8,17750,'Labore irure nulla ad et aliqua exercitation ad ipsum deserunt qui qui cillum.'
2022-1-8,91790,'Fugiat aliquip non labore consequat enim.'
2022-1-8,99540,'P, oident Lorem amet adipisicing non exercitation minim.'
2022-1-8,76190,'Aute est officia fugiat reprehenderit.'
2022-1-8,725.9,'Nostrud irure nostrud anim et non dolore labore consectetur.'
2022-1-8,49420,'Tempor elit eiusmod cupidatat mollit irure incididunt sunt enim nostrud excepteur labore occaecat eiusmod.'
2022-1-10,698.6,'Consectetur fugiat est magna.'
2022-1-10,79850,'Pariatur ipsum consequat sit ex et deserunt voluptate aute cupidatat laboris.'
2022-1-10,958.7,'Cupidatat aute in.'
2022-1-10,45300,'Adipisicing pariatur in id duis ad proident.'
2022-1-10,47370,'Dolore pariatur est ut in qui incididunt do tempor id qui ea reprehenderit velit.'
2022-1-10,63990,'In aliqua ullamco cillum.'
2022-1-10,95860,'Fugiat officia nostrud qui irure cillum elit sit commodo excepteur sint magna dolor eiusmod.'
2022-1-10,84880,'Aliqua proi, ent culpa et.'
2022-1-10,67200,'Ex reprehenderit reprehenderit dolore nostrud nulla.'
2022-1-10,42860,'Excepteur sit velit.'
2022-1-10,97320,'Nulla occaecat cillum amet dolore elit minim incididunt nulla minim do aliquip ad cupidatat do.'
2022-1-10,7150,'Nostrud laboris ullamco aute.'
2022-1-10,65590,'Ut tempor aliqua culpa aute aliquip non commodo mollit velit.'
2022-1-10,26930,'Sunt cupidatat in adipisicing dolor cupidatat laboris id.'
2022-1-10,47810,'Adipisicing cillum labore voluptate.'
2022-1-10,865.1,'Fugiat deserunt consectetur velit do ea veniam proident ex mollit in culpa nisi culpa non.'
2022-1-10,64800,'Incididunt ut ut duis ipsum reprehenderit cupidatat nisi consequat sint labore officia culpa eu consectetur.'
2022-1-10,14740,'Elit et ea dolor deserunt elit proident non id anim sit consectetur.'
2022-1-10,42230,'Aute amet labore mollit aute par, atur velit sint ut sunt culpa.'
2022-1-10,52390,'Et est est laboris ex irure pariatur tempor velit aliquip duis aliqua.'
2022-1-10,42050,'Incididunt fugiat anim officia fugiat.'
2022-1-10,31230,'Excepteur eu proident labore sint ut qui non deserunt sint aliqua id adipisicing quis.'
2022-1-10,81790,'Sunt do ullamco sint nisi ex in nulla consequat adipisicing consectetur.'
2022-1-10,67580,'Consectetur veniam magna laboris deserunt dolor voluptate.'
2022-1-10,84470,'Cupidatat sint ipsum enim reprehenderit consequat Lorem labore mollit consectetur pariatur eu.'
2022-1-10,37360,'Officia laborum aute elit est.'
2022-1-10,29640,'Fugiat nulla et consequat aliqua aliqua ut anim enim minim ea.'
2022-1-10,312.6,'Mollit qui pariatur deserunt voluptate minim ea eu ea est exercitation reprehenderit eiusmod ea aute.'
2022-1-10,24910,'Eu nostrud est occaecat ea voluptate ullamco cillum dolore ea proident culpa ut ea.'
2022-1-10,66940,'Aliquip tempor adipisicing ex fugiat.'
2022-1-10,442.2,'Exercitation occaecat excepteur nostrud incididunt tempor fugiat pariatur.'
