Date,Amount,Description
2021-12-1,31010,'Mollit ipsum minim dolor non ipsum velit occaecat sit.'
2021-12-1,31790,'Aliqua dolor enim fugiat qui dolor.'
2021-12-1,28760,'Elit sunt consequat officia dolor dolore adipisicing irure anim proident do tempor dolore.'
2021-12-1,81520,'Qui id ut in sit fugiat nulla fugiat.'
2021-12-1,31290,'Quis irure sint consectetur.'
2021-12-1,20520,'Ad sit reprehenderit laborum incididunt nulla et ut qui ex esse officia.'
2021-12-1,62630,'Consectetur ut proident fugiat anim excepteur excepteur ex dolor tempor id.'
2021-12-1,19340,'Veniam minim et ad elit nulla amet elit nostrud.'
2021-12-1,1680,'Culpa excepteur minim aute voluptate aliqua nisi sint magna minim dolore.'
2021-12-1,90510,'Esse eiusmod ad reprehenderit aliquip exercitation nostrud sint elit veniam.'
2021-12-1,68560,'Laborum quis culpa tempor ut ex incididunt veniam voluptate eiusmod non deserunt consectetur laborum.'
2021-12-3,31920,'Incididunt eu mollit Lorem commodo.'
2021-12-3,21270,'Aliqua sit qui incididunt esse cillum et ad est aliquip do sit nostrud do.'
2021-12-3,173.2,'Nostrud dolor est non ex tempor velit labore ea, '
2021-12-3,97580,'Qui ex anim Lorem nostrud fugiat occaecat eu.'
2021-12-3,91880,'Aliqua eu magna velit veniam aute incididunt incididunt id elit aute minim elit mollit consequat.'
2021-12-3,63260,'Dolore amet consectetur cillum cillum voluptate nisi fugiat.'
2021-12-3,79680,'Consectetur ut adipisicing duis in voluptate id excepteur reprehenderit sunt exercit, tion ea veniam deserunt ut.'
2021-12-3,78090,'Occaecat qui excepteur et.'
2021-12-3,22450,'Minim ullamco aute duis ut nisi velit.'
2021-12-3,19370,'Sunt quis ipsum amet.'
2021-12-3,85710,'Dolor excepteur et officia laboris minim ullamco quis sunt aute anim consequat.'
2021-12-3,448.8,'Qui sunt tempor id Lorem tempor adipisicing excepteur non ipsum irure irure eu.'
2021-12-3,20040,'Ea labore consectetur duis ea nostrud eiusmod ips, m consectetur in laborum.'
2021-12-4,70760,'Non et dolor anim mollit nisi sint aute commodo sint.'
2021-12-4,67750,'Cillum aliquip amet sit pariatur proident exercitation culpa sunt voluptate.'
2021-12-4,94150,'Exercitation fugiat in culpa excepteur veniam enim enim ex ipsum irure in.'
2021-12-4,94930,'Reprehenderit adipisicing irure ut exercitation quis commodo esse excepteur non magna.'
2021-12-4,64330,'Proident non aute qui quis tempor commodo sunt adipisicing aliqua cupidatat ipsum officia Lorem tempor.'
2021-12-4,48360,'Officia occaecat proident est amet pariatur excepteur.'
2021-12-6,5240,'Ullamco Lorem dolor nostrud et laboris ad aliquip mollit veniam magna aliqua elit, '
2021-12-6,182.1,'Excepteur ut irure ipsum aliqua cillum aliqua quis.'
2021-12-6,86170,'Est cupidatat minim fugiat proident eu exercitation.'
2021-12-6,58210,'Dolore laborum Lorem proident ex amet ex Lorem sunt.'
2021-12-6,526.4,'Lorem proident labore eu nostrud deserunt sunt laboris dolore cillum duis sint cillum qui.'
2021-12-6,67380,'Occaecat consectetur do occaecat excepteur anim reprehenderit adipisicing velit duis cillum.'
2021-12-6,118.5,'Aliqua irure ex.'
2021-12-6,57380,'Eiusmod aliqua exercitation tempor sint qui aliqua.'
2021-12-6,93490,'Dolore laboris enim pari, tur minim aliqua irure commodo in id nulla.'
2021-12-6,38630,'Labore ullamco eu id veniam incididunt cillum sunt magna est ea.'
2021-12-6,42730,'Non ullamco laborum pariatur non consequat quis ex voluptate culpa nisi ipsum.'
2021-12-6,31770,'Et nisi pariatur.'
2021-12-6,27550,'Officia i, sum reprehenderit id ex amet occaecat sunt ex sunt enim eu anim.'
2021-12-6,10340,'Deserunt ex adipisicing nisi laborum nisi nostrud esse est.'
2021-12-7,460,'Mollit culpa irure proident laborum consequat aute aliquip.'
2021-12-7,52340,'Elit laborum fugiat aliqua id do et anim voluptate eiusmod officia nisi minim excepteur cupidatat.'
